,state,year,produced_renewable,population,energy_price,total_consumed,difference
2904,Ohio,2019,122625.2,11728,19.3,3803112.9,-3680487.7
2905,Ohio,2020,123901.2,11751.7,19.7,3799156.4,-3675255.2
2906,Ohio,2021,125177.2,11775.4,20.1,3795199.9,-3670022.7
2907,Ohio,2022,126453.2,11799.1,20.4,3791243.4,-3664790.2
2908,Ohio,2023,127729.2,11822.8,20.8,3787286.9,-3659557.7
2909,Ohio,2024,129005.2,11846.5,21.2,3783330.4,-3654325.3
2910,Ohio,2025,130281.2,11870.2,21.5,3779373.9,-3649092.8
2911,Ohio,2026,131557.1,11893.8,21.9,3775417.4,-3643860.3
2912,Ohio,2027,132833.1,11917.5,22.3,3771460.9,-3638627.8
2913,Ohio,2028,134109.1,11941.2,22.7,3767504.4,-3633395.3
2914,Ohio,2029,135385.1,11964.9,23,3763547.9,-3628162.8
2915,Ohio,2030,136661.1,11988.6,23.4,3759591.4,-3622930.4
36,Oklahoma,1970,21730,2567,1.9,939226,-917496
87,Oklahoma,1971,21321,2619,1.9,965680,-944359
138,Oklahoma,1972,26724,2659,1.9,1019204,-992480
189,Oklahoma,1973,50756,2696,2.1,1024152,-973396
240,Oklahoma,1974,48830,2735,2.7,1064042,-1015212
291,Oklahoma,1975,42644,2775,3.1,1070091,-1027447
342,Oklahoma,1976,29303,2827,3.3,1162766,-1133463
393,Oklahoma,1977,32743,2870,3.7,1224894,-1192151
444,Oklahoma,1978,37416,2917,4,1266603,-1229187
495,Oklahoma,1979,46806,2975,4.9,1322376,-1275570
546,Oklahoma,1980,24855,3041,6.5,1213993,-1189138
597,Oklahoma,1981,23520,3096,7.3,1248960,-1225440
648,Oklahoma,1982,36159,3206,7.7,1318075,-1281916
699,Oklahoma,1983,39240,3290,7.6,1316946,-1277706
750,Oklahoma,1984,39702,3286,7.5,1322507,-1282805
801,Oklahoma,1985,57000,3271,7.8,1297798,-1240798
852,Oklahoma,1986,45180,3253,7,1203182,-1158002
903,Oklahoma,1987,45998,3210,6.7,1256837,-1210839
954,Oklahoma,1988,37117,3167,6.5,1291311,-1254194
1005,Oklahoma,1989,50344,3150,6.7,1325070,-1274726
1056,Oklahoma,1990,49914,3149,7.4,1382653,-1332739
1107,Oklahoma,1991,41216,3175,7.3,1315793,-1274577
1158,Oklahoma,1992,53293,3221,7.2,1330177,-1276884
1209,Oklahoma,1993,67957,3252,7.3,1388934,-1320977
1260,Oklahoma,1994,50125,3281,7.2,1393746,-1343621
1311,Oklahoma,1995,53290,3308,7.2,1368422,-1315132
1362,Oklahoma,1996,51673,3340,7.8,1428665,-1376992
1413,Oklahoma,1997,55183,3373,8.1,1434069,-1378886
1464,Oklahoma,1998,60591,3405,7.5,1436479,-1375888
1515,Oklahoma,1999,55318,3437,7.9,1417383,-1362065
1566,Oklahoma,2000,47389,3454,10,1473734,-1426345
1617,Oklahoma,2001,48390,3467,10.5,1494608,-1446218
1668,Oklahoma,2002,40915,3489,9.5,1446465,-1405550
1719,Oklahoma,2003,41954,3505,10.9,1475978,-1434024
1770,Oklahoma,2004,62058,3525,12.3,1464767,-1402709
1821,Oklahoma,2005,61329,3549,14.8,1515574,-1454245
1872,Oklahoma,2006,50325,3594,16.5,1555092,-1504767
1923,Oklahoma,2007,74304,3634,17.1,1571276,-1496972
1974,Oklahoma,2008,73670,3669,20.4,1581494,-1507824
2025,Oklahoma,2009,79395,3718,15.9,1492242,-1412847
2076,Oklahoma,2010,94855,3760,17.1,1582375,-1487520
2127,Oklahoma,2011,99265,3788,19.8,1588072,-1488807
2178,Oklahoma,2012,119647,3819,20.2,1563998,-1444351
2229,Oklahoma,2013,161105,3853,19.8,1622927,-1461822
2280,Oklahoma,2014,159107,3878,19.9,1685554,-1526447
2331,Oklahoma,2015,183713,3910,16,1632845,-1449132
2382,Oklahoma,2016,239124,3927,14,1633797,-1394673
2433,Oklahoma,2017,263497,3933,15.4,1643837,-1380340
2916,Oklahoma,2018,141974.7,3950.3,17.9,1689309.2,-1547334.5
2917,Oklahoma,2019,144879,3976.2,18.2,1702309.1,-1557430.1
2918,Oklahoma,2020,147783.3,4002.2,18.6,1715309.1,-1567525.7
2919,Oklahoma,2021,150687.6,4028.1,18.9,1728309,-1577621.4
2920,Oklahoma,2022,153591.9,4054.1,19.2,1741308.9,-1587717
2921,Oklahoma,2023,156496.2,4080,19.6,1754308.8,-1597812.6
2922,Oklahoma,2024,159400.5,4105.9,19.9,1767308.7,-1607908.2
2923,Oklahoma,2025,162304.7,4131.9,20.3,1780308.6,-1618003.8
2924,Oklahoma,2026,165209,4157.8,20.6,1793308.5,-1628099.5
2925,Oklahoma,2027,168113.3,4183.8,21,1806308.4,-1638195.1
2926,Oklahoma,2028,171017.6,4209.7,21.3,1819308.3,-1648290.7
2927,Oklahoma,2029,173921.9,4235.7,21.7,1832308.2,-1658386.3
2928,Oklahoma,2030,176826.2,4261.6,22,1845308.1,-1668481.9
37,Oregon,1970,371350,2101,1.9,752924,-381574
88,Oregon,1971,419311,2151,1.9,796879,-377568
139,Oregon,1972,435930,2197,1.9,837435,-401505
190,Oregon,1973,351043,2242,2.1,854962,-503919
241,Oregon,1974,432867,2285,2.8,837588,-404721
292,Oregon,1975,417387,2330,3.2,867638,-450251
343,Oregon,1976,434370,2378,3.4,885915,-451545
394,Oregon,1977,327769,2447,3.8,885093,-557324
445,Oregon,1978,408647,2518,4.2,951139,-542492
496,Oregon,1979,387287,2588,5.2,977131,-589844
547,Oregon,1980,401129,2641,7.1,945029,-543900
598,Oregon,1981,428803,2668,7.8,939039,-510236
649,Oregon,1982,561110,2665,8.2,905941,-344831
700,Oregon,1983,574196,2653,8,868020,-293824
751,Oregon,1984,590527,2667,8.1,936508,-345981
802,Oregon,1985,529624,2673,8.3,913873,-384249
853,Oregon,1986,532746,2684,7,895457,-362711
904,Oregon,1987,477093,2701,7.1,940455,-463362
955,Oregon,1988,470568,2741,7.1,991005,-520437
1006,Oregon,1989,481678,2791,7.5,999506,-517828
1057,Oregon,1990,487410,2860,8.1,978110,-490700
1108,Oregon,1991,484638,2929,7.9,1009616,-524978
1159,Oregon,1992,374214,2992,8,1001923,-627709
1210,Oregon,1993,414153,3060,8.3,1019599,-605446
1261,Oregon,1994,367996,3121,8.5,1033185,-665189
1312,Oregon,1995,467164,3184,8.6,1040836,-573672
1363,Oregon,1996,517451,3247,8.9,1085249,-567798
1414,Oregon,1997,530595,3304,8.6,1096392,-565797
1465,Oregon,1998,454349,3352,8.1,1107618,-653269
1516,Oregon,1999,509832,3394,8.8,1132885,-623053
1567,Oregon,2000,436666,3430,10.6,1116714,-680048
1618,Oregon,2001,349949,3468,11,1027577,-677628
1669,Oregon,2002,400635,3513,11.1,1023215,-622580
1720,Oregon,2003,384479,3547,12,1001580,-617101
1771,Oregon,2004,384623,3569,13.2,999636,-615013
1822,Oregon,2005,364066,3613,15.3,1036101,-672035
1873,Oregon,2006,433011,3671,16.9,1071726,-638715
1924,Oregon,2007,396905,3722,18.2,1061979,-665074
1975,Oregon,2008,414463,3769,20.9,1046619,-632156
2026,Oregon,2009,415648,3809,17.6,1012758,-597110
2077,Oregon,2010,399550,3838,19.1,981312,-581762
2128,Oregon,2011,518190,3872,22.1,1007805,-489615
2179,Oregon,2012,499340,3899,22.6,978245,-478905
2230,Oregon,2013,462978,3923,22,996244,-533266
2281,Oregon,2014,484169,3964,22.1,992956,-508787
2332,Oregon,2015,438006,4017,18.9,970883,-532877
2383,Oregon,2016,467465,4091,17.4,987666,-520201
2434,Oregon,2017,494569,4147,18.4,1032245,-537676
2929,Oregon,2018,464864.2,4160.9,20.1,1079601.9,-614737.7
2930,Oregon,2019,465683.3,4203.6,20.5,1083909.9,-618226.6
2931,Oregon,2020,466502.4,4246.3,20.9,1088217.9,-621715.5
2932,Oregon,2021,467321.5,4289,21.3,1092525.9,-625204.4
2933,Oregon,2022,468140.6,4331.6,21.7,1096833.9,-628693.4
2934,Oregon,2023,468959.7,4374.3,22.1,1101142,-632182.3
2935,Oregon,2024,469778.8,4417,22.5,1105450,-635671.2
2936,Oregon,2025,470597.9,4459.7,22.9,1109758,-639160.1
2937,Oregon,2026,471417,4502.4,23.3,1114066,-642649
2938,Oregon,2027,472236.1,4545.1,23.7,1118374,-646138
2939,Oregon,2028,473055.2,4587.7,24.1,1122682,-649626.9
2940,Oregon,2029,473874.3,4630.4,24.5,1126990.1,-653115.8
2941,Oregon,2030,474693.4,4673.1,24.9,1131298.1,-656604.7
38,Pennsylvania,1970,67525,11813,1.5,4106916,-4039391
89,Pennsylvania,1971,60573,11886,1.7,4044955,-3984382
140,Pennsylvania,1972,70114,11908,1.8,4187795,-4117681
191,Pennsylvania,1973,70871,11891,1.9,4294356,-4223485
242,Pennsylvania,1974,72077,11871,2.8,4124018,-4051941
293,Pennsylvania,1975,73865,11906,3.2,3913887,-3840022
344,Pennsylvania,1976,81184,11897,3.4,4164173,-4082989
395,Pennsylvania,1977,84322,11894,3.8,4127190,-4042868
446,Pennsylvania,1978,90536,11879,4.1,4128436,-4037900
497,Pennsylvania,1979,106837,11888,4.9,4249658,-4142821
548,Pennsylvania,1980,136826,11868,6.4,3996299,-3859473
599,Pennsylvania,1981,147662,11859,7.4,3809830,-3662168
650,Pennsylvania,1982,149605,11845,8.3,3363346,-3213741
701,Pennsylvania,1983,167142,11838,8.2,3377212,-3210070
752,Pennsylvania,1984,152019,11815,8,3604664,-3452645
803,Pennsylvania,1985,148238,11771,8.4,3434064,-3285826
854,Pennsylvania,1986,117214,11783,7.6,3378296,-3261082
905,Pennsylvania,1987,108025,11811,7.4,3551982,-3443957
956,Pennsylvania,1988,108182,11846,7.3,3713946,-3605764
1007,Pennsylvania,1989,98078,11866,7.8,3738812,-3640734
1058,Pennsylvania,1990,91855,11903,8.6,3635723,-3543868
1109,Pennsylvania,1991,90246,11982,8.9,3572793,-3482547
1160,Pennsylvania,1992,107587,12049,8.6,3675538,-3567951
1211,Pennsylvania,1993,104764,12120,8.5,3746347,-3641583
1262,Pennsylvania,1994,112111,12166,8.7,3820034,-3707923
1313,Pennsylvania,1995,113291,12198,8.8,3877821,-3764530
1364,Pennsylvania,1996,131090,12220,9.2,3911513,-3780423
1415,Pennsylvania,1997,114660,12228,9.4,3875116,-3760456
1466,Pennsylvania,1998,110545,12246,9.2,3715245,-3604700
1517,Pennsylvania,1999,109245,12264,9.1,3752079,-3642834
1568,Pennsylvania,2000,113589,12284,10.7,3925984,-3812395
1619,Pennsylvania,2001,95727,12299,11.3,3833064,-3737337
1670,Pennsylvania,2002,96600,12331,10.8,3893246,-3796646
1721,Pennsylvania,2003,109944,12375,11.8,3942917,-3832973
1772,Pennsylvania,2004,110368,12411,13.1,3989867,-3879499
1823,Pennsylvania,2005,104192,12450,15.7,4012421,-3908229
1874,Pennsylvania,2006,107197,12511,17.6,3883800,-3776603
1925,Pennsylvania,2007,105172,12564,18.3,3960358,-3855186
1976,Pennsylvania,2008,114904,12612,21.4,3940341,-3825437
2027,Pennsylvania,2009,126256,12667,18.1,3625449,-3499193
2078,Pennsylvania,2010,158384,12711,19.6,3756486,-3598102
2129,Pennsylvania,2011,180128,12745,22.7,3729272,-3549144
2180,Pennsylvania,2012,167209,12767,22.8,3621551,-3454342
2231,Pennsylvania,2013,197054,12777,21.5,3828188,-3631134
2282,Pennsylvania,2014,195875,12789,21.3,3955081,-3759206
2333,Pennsylvania,2015,199452,12786,17.8,3872177,-3672725
2384,Pennsylvania,2016,193215,12784,16.6,3758844,-3565629
2435,Pennsylvania,2017,201490,12790,17.9,3807664,-3606174
2942,Pennsylvania,2018,168059.7,12761.4,20.1,3749292.9,-3581233.2
2943,Pennsylvania,2019,169914.5,12784.8,20.5,3745835.6,-3575921.1
2944,Pennsylvania,2020,171769.2,12808.2,20.9,3742378.3,-3570609
2945,Pennsylvania,2021,173624,12831.6,21.3,3738921,-3565297
2946,Pennsylvania,2022,175478.7,12855.1,21.7,3735463.6,-3559984.9
2947,Pennsylvania,2023,177333.5,12878.5,22.1,3732006.3,-3554672.8
2948,Pennsylvania,2024,179188.2,12901.9,22.5,3728549,-3549360.8
2949,Pennsylvania,2025,181043,12925.3,22.9,3725091.7,-3544048.7
2950,Pennsylvania,2026,182897.8,12948.8,23.3,3721634.4,-3538736.6
2951,Pennsylvania,2027,184752.5,12972.2,23.7,3718177.1,-3533424.6
2952,Pennsylvania,2028,186607.3,12995.6,24.1,3714719.7,-3528112.5
2953,Pennsylvania,2029,188462,13019,24.5,3711262.4,-3522800.4
2954,Pennsylvania,2030,190316.8,13042.5,24.9,3707805.1,-3517488.3
39,Rhode Island,1970,5268,951,1.9,222536,-217268
90,Rhode Island,1971,4851,963,2,235513,-230662
141,Rhode Island,1972,4934,975,2.2,236763,-231829
192,Rhode Island,1973,5108,976,2.4,231946,-226838
243,Rhode Island,1974,5023,951,3.8,215591,-210568
294,Rhode Island,1975,4050,943,4.1,206221,-202171
345,Rhode Island,1976,4704,946,4.3,215504,-210800
396,Rhode Island,1977,5295,950,4.7,223147,-217852
447,Rhode Island,1978,6577,952,5,212617,-206040
498,Rhode Island,1979,7124,950,6.5,201339,-194215
549,Rhode Island,1980,7287,949,8.9,185615,-178328
600,Rhode Island,1981,6645,953,10.7,175209,-168564
651,Rhode Island,1982,6053,954,10.3,174887,-168834
702,Rhode Island,1983,7401,956,10.3,180973,-173572
753,Rhode Island,1984,4946,962,9.9,192232,-187286
804,Rhode Island,1985,5081,969,9.6,204275,-199194
855,Rhode Island,1986,4653,977,8.4,206204,-201551
906,Rhode Island,1987,3302,990,8.5,215862,-212560
957,Rhode Island,1988,3528,996,8.4,223279,-219751
1008,Rhode Island,1989,3806,1001,9.3,216864,-213058
1059,Rhode Island,1990,4499,1006,10.5,212689,-208190
1110,Rhode Island,1991,4585,1011,10.4,218147,-213562
1161,Rhode Island,1992,4840,1013,9.2,244586,-239746
1212,Rhode Island,1993,5181,1015,10.7,201720,-196539
1263,Rhode Island,1994,5066,1016,9.6,238889,-233823
1314,Rhode Island,1995,5079,1017,9.9,227806,-222727
1365,Rhode Island,1996,5562,1021,10.6,218544,-212982
1416,Rhode Island,1997,4347,1025,11.1,216194,-211847
1467,Rhode Island,1998,4197,1031,9.5,225042,-220845
1518,Rhode Island,1999,4403,1040,9.9,224362,-219959
1569,Rhode Island,2000,4520,1050,13.1,202476,-197956
1620,Rhode Island,2001,3899,1057,14.1,201805,-197906
1671,Rhode Island,2002,3700,1066,12.7,200789,-197089
1722,Rhode Island,2003,3787,1071,14.3,216040,-212253
1773,Rhode Island,2004,3846,1075,16,213931,-210085
1824,Rhode Island,2005,879,1068,19,207316,-206437
1875,Rhode Island,2006,2631,1063,22.6,198412,-195781
1926,Rhode Island,2007,2781,1057,23,198296,-195515
1977,Rhode Island,2008,2947,1055,26.4,194315,-191368
2028,Rhode Island,2009,3544,1054,21.5,194840,-191296
2079,Rhode Island,2010,3704,1054,23.6,195504,-191800
2130,Rhode Island,2011,3653,1054,26.2,185911,-182258
2181,Rhode Island,2012,2934,1055,26.6,183916,-180982
2232,Rhode Island,2013,2658,1055,26.2,199075,-196417
2283,Rhode Island,2014,4381,1056,26.6,204879,-200498
2334,Rhode Island,2015,4793,1056,22.6,203300,-198507
2385,Rhode Island,2016,4579,1057,21.2,186147,-181568
2436,Rhode Island,2017,5816,1056,22.2,183872,-178056
2955,Rhode Island,2018,3392,1083.7,24.2,199768.6,-196376.7
2956,Rhode Island,2019,3340,1086.7,24.7,199428.7,-196088.7
2957,Rhode Island,2020,3288,1089.7,25.2,199088.8,-195800.7
2958,Rhode Island,2021,3236.1,1092.7,25.7,198748.8,-195512.8
2959,Rhode Island,2022,3184.1,1095.8,26.1,198408.9,-195224.8
2960,Rhode Island,2023,3132.1,1098.8,26.6,198069,-194936.8
2961,Rhode Island,2024,3080.1,1101.8,27.1,197729,-194648.9
2962,Rhode Island,2025,3028.2,1104.8,27.6,197389.1,-194360.9
2963,Rhode Island,2026,2976.2,1107.8,28.1,197049.1,-194073
2964,Rhode Island,2027,2924.2,1110.8,28.5,196709.2,-193785
2965,Rhode Island,2028,2872.2,1113.9,29,196369.3,-193497
2966,Rhode Island,2029,2820.3,1116.9,29.5,196029.3,-193209.1
2967,Rhode Island,2030,2768.3,1119.9,30,195689.4,-192921.1
40,South Carolina,1970,65064,2597,1.8,745729,-680665
91,South Carolina,1971,78568,2662,2,779638,-701070
142,South Carolina,1972,77077,2719,2.1,834960,-757883
193,South Carolina,1973,83883,2777,2.3,886118,-802235
244,South Carolina,1974,79895,2845,3.3,858642,-778747
295,South Carolina,1975,87805,2902,3.7,840874,-753069
346,South Carolina,1976,83353,2944,3.8,964613,-881260
397,South Carolina,1977,80884,2992,4.3,1000303,-919419
448,South Carolina,1978,83872,3044,4.6,994484,-910612
499,South Carolina,1979,91528,3090,5.7,984487,-892959
550,South Carolina,1980,71184,3135,7.2,997901,-926717
601,South Carolina,1981,52168,3179,8.4,1002177,-950009
652,South Carolina,1982,69144,3208,8.9,973134,-903990
703,South Carolina,1983,75398,3234,8.6,1006503,-931105
754,South Carolina,1984,80275,3272,8.6,1069330,-989055
805,South Carolina,1985,66594,3303,8.8,1076310,-1009716
856,South Carolina,1986,89782,3343,7.8,1142219,-1052437
907,South Carolina,1987,95655,3381,8.1,1178512,-1082857
958,South Carolina,1988,82436,3412,7.9,1235317,-1152881
1009,South Carolina,1989,97057,3457,8.1,1243836,-1146779
1060,South Carolina,1990,106105,3501,8.6,1262871,-1156766
1111,South Carolina,1991,107666,3570,8.5,1290130,-1182464
1162,South Carolina,1992,110649,3620,8.2,1306126,-1195477
1213,South Carolina,1993,110225,3663,8.2,1361656,-1251431
1264,South Carolina,1994,114631,3705,8.4,1362611,-1247980
1315,South Carolina,1995,124701,3749,8.4,1415700,-1290999
1366,South Carolina,1996,131794,3796,8.8,1453472,-1321678
1417,South Carolina,1997,131983,3860,8.6,1500752,-1368769
1468,South Carolina,1998,129956,3919,8.2,1547408,-1417452
1519,South Carolina,1999,96967,3975,8.7,1549498,-1452531
1570,South Carolina,2000,92462,4024,10.3,1595031,-1502569
1621,South Carolina,2001,70574,4065,10.4,1547170,-1476596
1672,South Carolina,2002,80639,4108,10,1586193,-1505554
1723,South Carolina,2003,103796,4150,11.1,1591372,-1487576
1774,South Carolina,2004,97431,4211,12.4,1694963,-1597532
1825,South Carolina,2005,104205,4270,14.9,1667703,-1563498
1876,South Carolina,2006,98610,4358,16.1,1677452,-1578842
1927,South Carolina,2007,94997,4444,17.2,1670755,-1575758
1978,South Carolina,2008,92008,4529,20.6,1637749,-1545741
2029,South Carolina,2009,102995,4590,16.8,1573632,-1470637
2080,South Carolina,2010,115289,4636,18.6,1653892,-1538603
2131,South Carolina,2011,116354,4671,21.4,1611608,-1495254
2182,South Carolina,2012,118029,4717,21.8,1567378,-1449349
2233,South Carolina,2013,133966,4764,22,1602238,-1468272
2284,South Carolina,2014,136701,4824,21.9,1642098,-1505397
2335,South Carolina,2015,128290,4892,18.1,1660226,-1531936
2386,South Carolina,2016,131055,4958,17.1,1652020,-1520965
2437,South Carolina,2017,130212,5021,18.3,1643615,-1513403
2968,South Carolina,2018,130583.9,4960.4,19.6,1831490.6,-1700906.6
2969,South Carolina,2019,131814.6,5009.8,19.9,1852711.8,-1720897.2
2970,South Carolina,2020,133045.2,5059.2,20.3,1873932.9,-1740887.7
2971,South Carolina,2021,134275.9,5108.6,20.7,1895154.1,-1760878.2
2972,South Carolina,2022,135506.5,5158,21.1,1916375.3,-1780868.7
2973,South Carolina,2023,136737.2,5207.4,21.5,1937596.5,-1800859.3
2974,South Carolina,2024,137967.8,5256.8,21.8,1958817.6,-1820849.8
2975,South Carolina,2025,139198.5,5306.2,22.2,1980038.8,-1840840.3
2976,South Carolina,2026,140429.1,5355.6,22.6,2001260,-1860830.8
2977,South Carolina,2027,141659.8,5405,23,2022481.1,-1880821.3
2978,South Carolina,2028,142890.4,5454.4,23.3,2043702.3,-1900811.9
2979,South Carolina,2029,144121.1,5503.8,23.7,2064923.5,-1920802.4
2980,South Carolina,2030,145351.7,5553.2,24.1,2086144.7,-1940792.9
41,South Dakota,1970,70185,668,2.1,168792,-98607
92,South Dakota,1971,82558,671,2.2,170183,-87625
143,South Dakota,1972,78339,677,2.1,179190,-100851
194,South Dakota,1973,51534,679,2.5,176823,-125289
245,South Dakota,1974,60394,680,3.3,172589,-112195
296,South Dakota,1975,83960,681,3.6,181948,-97988
347,South Dakota,1976,74830,686,3.7,195374,-120544
398,South Dakota,1977,57133,688,4.1,196832,-139699
449,South Dakota,1978,72806,689,4.4,205651,-132845
500,South Dakota,1979,67819,688,5.9,204965,-137146
551,South Dakota,1980,63775,691,7.7,190687,-126912
602,South Dakota,1981,58574,690,8.8,178760,-120186
653,South Dakota,1982,60267,691,8.7,191238,-130971
704,South Dakota,1983,61572,693,8.7,185488,-123916
755,South Dakota,1984,63771,697,8.7,188704,-124933
806,South Dakota,1985,59844,698,8.6,194819,-134975
857,South Dakota,1986,64005,696,7.2,195032,-131027
908,South Dakota,1987,59702,696,7.4,195204,-135502
959,South Dakota,1988,59484,698,7.3,205416,-145932
1010,South Dakota,1989,52343,697,8,214315,-161972
1061,South Dakota,1990,44413,697,8.7,217134,-172721
1112,South Dakota,1991,43560,704,8.4,213566,-170006
1163,South Dakota,1992,41061,713,8.3,216362,-175301
1214,South Dakota,1993,30241,722,8.3,229490,-199249
1265,South Dakota,1994,57086,731,8.2,236048,-178962
1316,South Dakota,1995,66206,738,8.3,239668,-173462
1367,South Dakota,1996,86847,742,8.8,252919,-166072
1418,South Dakota,1997,95920,744,9.1,242614,-146694
1469,South Dakota,1998,62841,746,8.3,239811,-176970
1520,South Dakota,1999,72609,750,8.6,245317,-172708
1571,South Dakota,2000,62868,756,10.5,258942,-196074
1622,South Dakota,2001,41313,758,11.1,251542,-210229
1673,South Dakota,2002,55199,760,10.1,270799,-215600
1724,South Dakota,2003,67639,764,11.2,275112,-207473
1775,South Dakota,2004,83757,770,12.8,284389,-200632
1826,South Dakota,2005,93723,775,15.2,302070,-208347
1877,South Dakota,2006,114665,783,16.8,306930,-192265
1928,South Dakota,2007,115498,792,17.7,330556,-215058
1979,South Dakota,2008,144310,799,19.7,353290,-208980
2030,South Dakota,2009,179345,807,15.4,363075,-183730
2081,South Dakota,2010,214651,816,17.2,379018,-164367
2132,South Dakota,2011,237405,823,20.4,378971,-141566
2183,South Dakota,2012,217909,833,21,370842,-152933
2234,South Dakota,2013,209519,842,20.2,390362,-180843
2285,South Dakota,2014,222713,849,20.4,393982,-171269
2336,South Dakota,2015,217615,854,16.3,385866,-168251
2387,South Dakota,2016,226440,863,15,383002,-156562
2438,South Dakota,2017,225550,873,16.3,384857,-159307
2981,South Dakota,2018,173537.7,841.1,18.5,374183.3,-200645.6
2982,South Dakota,2019,176692.3,845.2,18.8,379118.3,-202426
2983,South Dakota,2020,179846.9,849.3,19.2,384053.3,-204206.4
2984,South Dakota,2021,183001.5,853.4,19.5,388988.3,-205986.7
2985,South Dakota,2022,186156.1,857.5,19.9,393923.2,-207767.1
2986,South Dakota,2023,189310.8,861.6,20.2,398858.2,-209547.5
2987,South Dakota,2024,192465.4,865.6,20.5,403793.2,-211327.8
2988,South Dakota,2025,195620,869.7,20.9,408728.2,-213108.2
2989,South Dakota,2026,198774.6,873.8,21.2,413663.2,-214888.5
2990,South Dakota,2027,201929.3,877.9,21.6,418598.2,-216668.9
2991,South Dakota,2028,205083.9,882,21.9,423533.1,-218449.3
2992,South Dakota,2029,208238.5,886.1,22.3,428468.1,-220229.6
2993,South Dakota,2030,211393.1,890.1,22.6,433403.1,-222010
42,Tennessee,1970,138417,3937,1.7,1365610,-1227193
93,Tennessee,1971,153090,4014,1.9,1371116,-1218026
144,Tennessee,1972,173103,4095,1.9,1473992,-1300889
195,Tennessee,1973,177886,4147,2,1614086,-1436200
246,Tennessee,1974,180418,4214,2.8,1578503,-1398085
297,Tennessee,1975,177299,4276,3.5,1614225,-1436926
348,Tennessee,1976,160069,4347,3.8,1720063,-1559994
399,Tennessee,1977,176225,4423,4.1,1779374,-1603149
450,Tennessee,1978,163042,4486,4.7,1762976,-1599934
501,Tennessee,1979,207250,4560,5.7,1800371,-1593121
552,Tennessee,1980,160372,4600,7.2,1724916,-1564544
603,Tennessee,1981,136647,4628,8.4,1693019,-1556372
654,Tennessee,1982,184404,4646,8.8,1611851,-1427447
705,Tennessee,1983,190439,4660,8.2,1660254,-1469815
756,Tennessee,1984,203804,4687,8,1737534,-1533730
807,Tennessee,1985,167034,4715,8.1,1711499,-1544465
858,Tennessee,1986,156686,4739,7.5,1700016,-1543330
909,Tennessee,1987,175575,4783,7.7,1712673,-1537098
960,Tennessee,1988,149034,4822,7.7,1777007,-1627973
1011,Tennessee,1989,205580,4854,8,1829468,-1623888
1062,Tennessee,1990,165785,4894,8.5,1791963,-1626178
1113,Tennessee,1991,180359,4967,8.3,1790944,-1610585
1164,Tennessee,1992,170092,5050,8.2,1833618,-1663526
1215,Tennessee,1993,153217,5138,8.2,1865782,-1712565
1266,Tennessee,1994,186212,5231,8.2,1926862,-1740650
1317,Tennessee,1995,165142,5327,8.2,1944618,-1779476
1368,Tennessee,1996,176855,5417,8.7,2050178,-1873323
1419,Tennessee,1997,164091,5499,8.8,2027556,-1863465
1470,Tennessee,1998,161573,5570,8.4,2107975,-1946402
1521,Tennessee,1999,134427,5639,8.7,2148027,-2013600
1572,Tennessee,2000,123662,5704,10,2180828,-2057166
1623,Tennessee,2001,142349,5751,10,2196527,-2054178
1674,Tennessee,2002,153221,5796,9.7,2221804,-2068583
1725,Tennessee,2003,190000,5848,10.6,2240357,-2050357
1776,Tennessee,2004,185184,5911,12.2,2269820,-2084636
1827,Tennessee,2005,167074,5991,14.7,2315375,-2148301
1878,Tennessee,2006,143514,6089,16.4,2314365,-2170851
1929,Tennessee,2007,115271,6176,17.3,2343999,-2228728
1980,Tennessee,2008,133932,6247,20.6,2283214,-2149282
2031,Tennessee,2009,179058,6306,17.1,2084442,-1905384
2082,Tennessee,2010,168470,6355,18.7,2251551,-2083081
2133,Tennessee,2011,184654,6397,22.1,2200767,-2016113
2184,Tennessee,2012,173097,6451,22.3,2085371,-1912274
2235,Tennessee,2013,216816,6493,21.6,2137896,-1921080
2286,Tennessee,2014,186218,6541,21.4,2205494,-2019276
2337,Tennessee,2015,189204,6591,17.4,2180064,-1990860
2388,Tennessee,2016,159629,6645,16.2,2208803,-2049174
2439,Tennessee,2017,176274,6709,17.5,2166502,-1990228
2994,Tennessee,2018,173597,6734.2,19.3,2355982,-2182384.9
2995,Tennessee,2019,173718.6,6792.9,19.7,2373593.5,-2199874.9
2996,Tennessee,2020,173840.1,6851.6,20,2391205.1,-2217364.9
2997,Tennessee,2021,173961.7,6910.3,20.4,2408816.6,-2234854.9
2998,Tennessee,2022,174083.2,6969,20.8,2426428.2,-2252344.9
2999,Tennessee,2023,174204.8,7027.7,21.1,2444039.7,-2269834.9
3000,Tennessee,2024,174326.3,7086.4,21.5,2461651.3,-2287324.9
3001,Tennessee,2025,174447.9,7145.1,21.9,2479262.8,-2304815
3002,Tennessee,2026,174569.4,7203.8,22.3,2496874.4,-2322305
3003,Tennessee,2027,174690.9,7262.5,22.6,2514485.9,-2339795
3004,Tennessee,2028,174812.5,7321.2,23,2532097.5,-2357285
3005,Tennessee,2029,174934,7379.8,23.4,2549709,-2374775
3006,Tennessee,2030,175055.6,7438.5,23.8,2567320.6,-2392265
43,Texas,1970,62757,11236,1.3,6921781,-6859024
94,Texas,1971,60471,11510,1.3,7233774,-7173303
145,Texas,1972,67560,11759,1.4,7623194,-7555634
196,Texas,1973,78102,12020,1.5,8241366,-8163264
